dataset_name,nmi,ari,acc,Combination
Sud,0.44563,0.3708,0.43713,attention-tripletK5-None
full,0.02022,0.02851,0.58448,attention-tripletK5-None
Meadow,0.05341,0.06815,0.63122,attention-vae-DEC
Orchards,0.02634,0.03349,0.59155,attention-vae-DEC
Sud,0.41718,0.30875,0.35353,attention-vae-DEC
full,0.01348,0.00318,0.53029,attention-vae-DEC
Meadow,0.04025,0.05789,0.62052,attention-vae-DEPICT
Orchards,0.00232,0.00315,0.52828,attention-vae-DEPICT
Sud,0.48867,0.35464,0.44635,attention-vae-DEPICT
full,0.0226,0.00162,0.52396,attention-vae-DEPICT
Meadow,0.00478,0.00846,0.54677,attention-vae-DTCR
Orchards,0.08792,0.08638,0.64698,attention-vae-DTCR
Sud,0.50584,0.45223,0.5574,attention-vae-DTCR
Meadow,0.0239,0.03545,0.59437,attention-vae-IDEC
Orchards,0.01104,0.01378,0.55878,attention-vae-IDEC
Sud,0.47376,0.45847,0.55821,attention-vae-IDEC
full,0.00236,0.0,0.51003,attention-vae-IDEC
Meadow,0.05166,0.06837,0.63131,attention-vae-None
Orchards,0.03007,0.0364,0.59545,attention-vae-None
Sud,0.45641,0.34626,0.41828,attention-vae-None
Meadow,0.0,0.0,0.5318,attention-vae-VADE
Orchards,0.0,0.0,0.501,attention-vae-VADE
Sud,0.0,0.0,0.44341,attention-vae-VADE
full,0.01753,0.00168,0.52403,attention-vae-None
Meadow,0.11811,0.15687,0.69806,dilated_cnn-joint-DEC
Orchards,0.54203,0.55435,0.87228,dilated_cnn-joint-DEC
Sud,0.56362,0.48219,0.49488,dilated_cnn-joint-DEC
full,0.14557,0.13892,0.6865,dilated_cnn-joint-DEC
Meadow,0.11834,0.1583,0.69896,dilated_cnn-joint-DEPICT
Orchards,0.56425,0.60881,0.89014,dilated_cnn-joint-DEPICT
Sud,0.57748,0.68304,0.66005,dilated_cnn-joint-DEPICT
full,0.09173,0.1085,0.66479,dilated_cnn-joint-DEPICT
Meadow,0.0,8,00E-05,0.53005,dilated_cnn-joint-DTCR
Orchards,0.00457,0.00269,0.52606,dilated_cnn-joint-DTCR
Sud,0.22319,0.14121,0.25788,dilated_cnn-joint-DTCR
full,0.00223,-0.00066,0.50553,dilated_cnn-joint-DTCR
Meadow,0.11763,0.15049,0.69401,dilated_cnn-joint-IDEC
Orchards,0.56,0.5763,0.87958,dilated_cnn-joint-IDEC
Sud,0.56818,0.48555,0.48323,dilated_cnn-joint-IDEC
full,0.21614,0.15851,0.69925,dilated_cnn-joint-IDEC
Meadow,0.12145,0.1604,0.70028,dilated_cnn-joint-None
Orchards,0.55942,0.58209,0.88148,dilated_cnn-joint-None
Sud,0.57652,0.50162,0.54038,dilated_cnn-joint-None
full,0.21282,0.15468,0.69683,dilated_cnn-joint-None
Meadow,0.09408,0.11671,0.67089,dilated_cnn-reconstruction-DEC
Orchards,0.57468,0.63512,0.89848,dilated_cnn-reconstruction-DEC
Sud,0.57317,0.48941,0.51971,dilated_cnn-reconstruction-DEC
full,0.14108,0.13298,0.68248,dilated_cnn-reconstruction-DEC
Meadow,0.09858,0.12828,0.67912,dilated_cnn-reconstruction-DEPICT
Orchards,0.582,0.66834,0.90877,dilated_cnn-reconstruction-DEPICT
Sud,0.63675,0.7525,0.73381,dilated_cnn-reconstruction-DEPICT
full,0.11773,0.13574,0.6843,dilated_cnn-reconstruction-DEPICT
Meadow,0.00186,0.00023,0.53265,dilated_cnn-reconstruction-DTCR
Orchards,1,00E-05,-0.0,0.50091,dilated_cnn-reconstruction-DTCR
Sud,0.0,0.0,0.44341,dilated_cnn-reconstruction-DTCR
full,0.00023,3,00E-05,0.51539,dilated_cnn-reconstruction-DTCR
Meadow,0.02311,0.0117,0.55645,dilated_cnn-reconstruction-GAN
Orchards,0.53723,0.61079,0.89077,dilated_cnn-reconstruction-GAN
Sud,0.50666,0.29622,0.42031,dilated_cnn-reconstruction-GAN
full,0.00168,0.00232,0.52627,dilated_cnn-reconstruction-GAN
Meadow,0.11429,0.15198,0.69495,dilated_cnn-reconstruction-IDEC
Orchards,0.58642,0.63903,0.8997,dilated_cnn-reconstruction-IDEC
Sud,0.57839,0.49718,0.53136,dilated_cnn-reconstruction-IDEC
full,0.20632,0.15549,0.69733,dilated_cnn-reconstruction-IDEC
Meadow,0.09995,0.12735,0.67848,dilated_cnn-reconstruction-None
Orchards,0.56817,0.63555,0.89861,dilated_cnn-reconstruction-None
Sud,0.5814,0.50728,0.56014,dilated_cnn-reconstruction-None
full,0.20319,0.15542,0.69729,dilated_cnn-reconstruction-None
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK10-DEC
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK10-DEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK10-DEC
full,0.0,0.0,0.51517,dilated_cnn-tripletK10-DEC
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK10-DEPICT
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK10-DEPICT
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK10-DEPICT
full,0.0,0.0,0.51517,dilated_cnn-tripletK10-DEPICT
Meadow,0.00953,-0.00189,0.52216,dilated_cnn-tripletK10-DTCR
Orchards,9,00E-05,0.0,0.50104,dilated_cnn-tripletK10-DTCR
Sud,0.28317,0.2142,0.36133,dilated_cnn-tripletK10-DTCR
full,0.00652,0.00044,0.51838,dilated_cnn-tripletK10-DTCR
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK10-IDEC
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK10-IDEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK10-IDEC
full,0.0,0.0,0.51517,dilated_cnn-tripletK10-IDEC
Meadow,0.00953,-0.00189,0.52216,dilated_cnn-tripletK10-None
Orchards,0.00695,0.00025,0.50807,dilated_cnn-tripletK10-None
Sud,0.28326,0.21478,0.36123,dilated_cnn-tripletK10-None
full,0.00652,0.00044,0.51838,dilated_cnn-tripletK10-None
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK1-DEC
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK1-DEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK1-DEC
full,0.0,0.0,0.51517,dilated_cnn-tripletK1-DEC
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK1-DEPICT
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK1-DEPICT
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK1-DEPICT
full,0.0,0.0,0.51517,dilated_cnn-tripletK1-DEPICT
Meadow,0.00059,-0.00011,0.53133,dilated_cnn-tripletK1-DTCR
Orchards,0.0004,-0.0,0.50068,dilated_cnn-tripletK1-DTCR
Sud,0.19382,0.11351,0.2368,dilated_cnn-tripletK1-DTCR
full,0.00094,0.00055,0.51862,dilated_cnn-tripletK1-DTCR
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK1-IDEC
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK1-IDEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK1-IDEC
full,0.0,0.0,0.51517,dilated_cnn-tripletK1-IDEC
Meadow,0.00806,-0.00133,0.52553,dilated_cnn-tripletK1-None
Orchards,0.0004,-0.0,0.50068,dilated_cnn-tripletK1-None
Sud,0.19367,0.11323,0.23721,dilated_cnn-tripletK1-None
full,0.00094,0.00055,0.51862,dilated_cnn-tripletK1-None
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK2-DEC
Orchards,0.0045,5,00E-05,0.50354,dilated_cnn-tripletK2-DEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK2-DEC
full,0.0,0.0,0.51517,dilated_cnn-tripletK2-DEC
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK2-DEPICT
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK2-DEPICT
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK2-DEPICT
full,0.0,0.0,0.51517,dilated_cnn-tripletK2-DEPICT
Meadow,0.00047,-6,00E-05,0.53154,dilated_cnn-tripletK2-DTCR
Orchards,0.00081,0.0,0.50141,dilated_cnn-tripletK2-DTCR
Sud,0.26029,0.19373,0.31533,dilated_cnn-tripletK2-DTCR
full,0.00417,0.00074,0.52018,dilated_cnn-tripletK2-DTCR
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK2-IDEC
Orchards,0.00099,0.00035,0.50965,dilated_cnn-tripletK2-IDEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK2-IDEC
full,0.0,0.0,0.51517,dilated_cnn-tripletK2-IDEC
Meadow,0.00468,0.00061,0.53397,dilated_cnn-tripletK2-None
Orchards,0.0045,5,00E-05,0.50354,dilated_cnn-tripletK2-None
Sud,0.25767,0.19246,0.3205,dilated_cnn-tripletK2-None
full,0.00411,0.00074,0.52014,dilated_cnn-tripletK2-None
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK5-DEC
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK5-DEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK5-DEC
full,0.01181,-0.00083,0.5003,dilated_cnn-tripletK5-DEC
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK5-DEPICT
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK5-DEPICT
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK5-DEPICT
full,0.0,0.0,0.51517,dilated_cnn-tripletK5-DEPICT
Meadow,0.00353,-0.00123,0.52566,dilated_cnn-tripletK5-DTCR
Orchards,0.04773,0.0048,0.53467,dilated_cnn-tripletK5-DTCR
Sud,0.26496,0.14022,0.27703,dilated_cnn-tripletK5-DTCR
full,0.01933,0.00395,0.53451,dilated_cnn-tripletK5-DTCR
Meadow,0.0,0.0,0.5318,dilated_cnn-tripletK5-IDEC
Orchards,0.0,0.0,0.501,dilated_cnn-tripletK5-IDEC
Sud,0.0,0.0,0.44341,dilated_cnn-tripletK5-IDEC
full,0.0,0.0,0.51517,dilated_cnn-tripletK5-IDEC
Meadow,0.00353,-0.00123,0.52566,dilated_cnn-tripletK5-None
Orchards,0.04773,0.0048,0.53467,dilated_cnn-tripletK5-None
Sud,0.26479,0.1403,0.27713,dilated_cnn-tripletK5-None
full,0.01159,-0.00083,0.50025,dilated_cnn-tripletK5-None
Meadow,0.0,0.0,0.5318,dilated_cnn-vae-DEC
Orchards,0.02763,0.00841,0.54591,dilated_cnn-vae-DEC
Sud,0.0,0.0,0.44341,dilated_cnn-vae-DEC
full,0.0,0.0,0.51517,dilated_cnn-vae-DEC
Meadow,0.0,0.0,0.5318,dilated_cnn-vae-DEPICT
Orchards,0.0,0.0,0.501,dilated_cnn-vae-DEPICT
Sud,0.0,0.0,0.44341,dilated_cnn-vae-DEPICT
full,0.0,0.0,0.51517,dilated_cnn-vae-DEPICT
Meadow,0.00051,-0.00069,0.52745,dilated_cnn-vae-DTCR
Orchards,0.00226,5,00E-05,0.50385,dilated_cnn-vae-DTCR
Sud,0.30292,0.25171,0.49681,dilated_cnn-vae-DTCR
full,0.03126,0.00774,0.54552,dilated_cnn-vae-DTCR
Meadow,0.0,0.0,0.5318,dilated_cnn-vae-IDEC
Orchards,0.0,0.0,0.501,dilated_cnn-vae-IDEC
Sud,0.0,0.0,0.44341,dilated_cnn-vae-IDEC
full,0.0,0.0,0.51517,dilated_cnn-vae-IDEC
Meadow,0.00051,-0.00069,0.52745,dilated_cnn-vae-None
Orchards,0.02763,0.00841,0.54591,dilated_cnn-vae-None
Sud,0.30291,0.25165,0.49681,dilated_cnn-vae-None
Meadow,0.0,0.0,0.5318,dilated_cnn-vae-VADE
