dataset_name,nmi,ari,acc,Combination
Orchards,0.01051,0.01374,0.55869,fcnn-tripletK5-DTCR
Sud,0.40132,0.29499,0.37076,fcnn-tripletK5-DTCR
full,0.06905,0.09266,0.65224,fcnn-tripletK5-DTCR
Meadow,0.00791,-0.00269,0.51384,fcnn-tripletK5-IDEC
Orchards,0.05268,0.05136,0.61335,fcnn-tripletK5-IDEC
Sud,0.38883,0.31268,0.50319,fcnn-tripletK5-IDEC
full,0.00035,0.00053,0.51172,fcnn-tripletK5-IDEC
Meadow,0.14871,0.18333,0.71414,fcnn-tripletK5-None
Orchards,0.05083,0.04569,0.60692,fcnn-tripletK5-None
Sud,0.45509,0.30686,0.38444,fcnn-tripletK5-None
full,0.00037,0.00049,0.51133,fcnn-tripletK5-None
Meadow,0.0343,0.04486,0.60691,fcnn-vae-DEC
Orchards,0.55788,0.62878,0.89648,fcnn-vae-DEC
Sud,0.37333,0.40966,0.58689,fcnn-vae-DEC
full,0.08944,0.09629,0.6553,fcnn-vae-DEC
Meadow,0.02875,0.04033,0.60119,fcnn-vae-DEPICT
Orchards,0.55921,0.64106,0.90034,fcnn-vae-DEPICT
Sud,0.0,0.0,0.44341,fcnn-vae-DEPICT
full,0.07594,0.08989,0.65003,fcnn-vae-DEPICT
Meadow,0.00166,0.00252,0.52536,fcnn-vae-DTCR
Orchards,0.60662,0.63223,0.89757,fcnn-vae-DTCR
Sud,0.0,0.0,0.44341,fcnn-vae-DTCR
full,0.03642,0.04813,0.60973,fcnn-vae-DTCR
Meadow,0.04606,0.05252,0.61587,fcnn-vae-IDEC
Orchards,0.62461,0.64965,0.90301,fcnn-vae-IDEC
Sud,0.0,0.0,0.44341,fcnn-vae-IDEC
full,0.119,0.11231,0.66774,fcnn-vae-IDEC
Meadow,0.0356,0.04617,0.60845,fcnn-vae-None
Orchards,0.56429,0.63007,0.89689,fcnn-vae-None
Sud,0.00924,0.00233,0.44483,fcnn-vae-None
Meadow,0.0,0.0,0.5318,fcnn-vae-VADE
Orchards,0.0,0.0,0.501,fcnn-vae-VADE
Sud,0.0,0.0,0.44341,fcnn-vae-VADE
full,0.0,0.0,0.51517,fcnn-vae-VADE
full,0.09228,0.09652,0.6555,fcnn-vae-None
Meadow,0.02044,0.02972,0.58631,kmeans-DTW-None
Orchards,0.24555,0.2779,0.7636,kmeans-DTW-None
Sud,0.53703,0.42872,0.50826,kmeans-DTW-None
full,0.04083,0.0566,0.61898,kmeans-DTW-None
Meadow,0.09172,0.11335,0.66842,kmeans-Eucl-None
Orchards,0.55472,0.6219,0.89431,kmeans-Eucl-None
Sud,0.58,0.55738,0.57605,kmeans-Eucl-None
full,0.10611,0.10904,0.66525,kmeans-Eucl-None
Meadow,0.04285,0.05354,0.61668,kpca-None-None
Orchards,0.56102,0.62548,0.89544,kpca-None-None
Sud,0.56972,0.49069,0.53947,kpca-None-None
full,0.11425,0.11393,0.66892,kpca-None-None
Meadow,0.0147,1,00E-05,0.5225,kshape-None-None
Orchards,0.11966,0.02906,0.58525,kshape-None-None
Sud,0.55557,0.53076,0.5574,kshape-None-None
full,0.04542,0.06187,0.62443,kshape-None-None
Meadow,0.00285,0.00427,0.53286,kumap-None-None
Orchards,0.01571,0.02165,0.57365,kumap-None-None
Sud,0.6308,0.52594,0.53896,kumap-None-None
full,0.00013,0.00019,0.50724,kumap-None-None
Meadow,0.10963,0.13982,0.68701,mlp-joint-DEC
Orchards,0.55217,0.62576,0.89553,mlp-joint-DEC
Sud,0.0,0.0,0.44341,mlp-joint-DEC
full,0.01112,0.01428,0.55982,mlp-joint-DEC
Meadow,0.10731,0.14235,0.68868,mlp-joint-DEPICT
Orchards,0.52463,0.62505,0.8953,mlp-joint-DEPICT
Sud,0.54527,0.45695,0.48465,mlp-joint-DEPICT
full,0.02138,0.02977,0.5863,mlp-joint-DEPICT
Meadow,0.02476,0.03583,0.59475,mlp-joint-DTCR
Orchards,0.00175,0.00232,0.52434,mlp-joint-DTCR
Sud,0.5226,0.45007,0.4885,mlp-joint-DTCR
full,0.00034,0.00059,0.51249,mlp-joint-DTCR
Meadow,0.1013,0.13398,0.68305,mlp-joint-IDEC
Orchards,0.13139,0.08538,0.64612,mlp-joint-IDEC
Sud,0.56268,0.47188,0.5035,mlp-joint-IDEC
full,0.02253,0.03161,0.58894,mlp-joint-IDEC
Meadow,0.11144,0.14874,0.69286,mlp-joint-None
Orchards,0.57675,0.63281,0.89775,mlp-joint-None
Sud,0.56447,0.47241,0.519,mlp-joint-None
full,0.023,0.03212,0.58964,mlp-joint-None
Meadow,0.05715,0.06002,0.62282,mlp-reconstruction-DEC
Orchards,0.52983,0.60204,0.88796,mlp-reconstruction-DEC
Sud,0.0,0.0,0.44341,mlp-reconstruction-DEC
full,0.04128,0.05221,0.61438,mlp-reconstruction-DEC
Meadow,0.07849,0.09778,0.65643,mlp-reconstruction-DEPICT
Orchards,0.53992,0.6428,0.90088,mlp-reconstruction-DEPICT
Sud,0.55726,0.49769,0.51809,mlp-reconstruction-DEPICT
full,0.007,0.00958,0.54899,mlp-reconstruction-DEPICT
Meadow,0.00547,0.00445,0.53431,mlp-reconstruction-DTCR
Orchards,0.00021,0.0002,0.50784,mlp-reconstruction-DTCR
Sud,0.45018,0.33386,0.37471,mlp-reconstruction-DTCR
full,0.01626,0.02025,0.57123,mlp-reconstruction-DTCR
Meadow,0.0641,0.07083,0.63331,mlp-reconstruction-GAN
Orchards,0.39668,0.48461,0.84808,mlp-reconstruction-GAN
Sud,0.49684,0.42371,0.45496,mlp-reconstruction-GAN
full,0.01667,0.01979,0.57074,mlp-reconstruction-GAN
Meadow,0.08308,0.10313,0.66065,mlp-reconstruction-IDEC
Orchards,0.54752,0.61733,0.89286,mlp-reconstruction-IDEC
Sud,0.54607,0.45124,0.50106,mlp-reconstruction-IDEC
full,0.01819,0.02569,0.58019,mlp-reconstruction-IDEC
Meadow,0.07247,0.077,0.63903,mlp-reconstruction-None
Orchards,0.55064,0.62061,0.8939,mlp-reconstruction-None
Sud,0.57873,0.52228,0.55548,mlp-reconstruction-None
full,0.01211,0.01706,0.56536,mlp-reconstruction-None
Meadow,0.02102,0.02547,0.57995,mlp-tripletK10-DEC
Orchards,0.18765,0.15028,0.69385,mlp-tripletK10-DEC
Sud,0.5226,0.5458,0.55507,mlp-tripletK10-DEC
full,0.02094,0.02948,0.58591,mlp-tripletK10-DEC
Meadow,0.0,0.0,0.5318,mlp-tripletK10-DEPICT
Orchards,0.0,0.0,0.501,mlp-tripletK10-DEPICT
Sud,0.53096,0.56207,0.56206,mlp-tripletK10-DEPICT
full,0.0,0.0,0.51517,mlp-tripletK10-DEPICT
Meadow,0.0,0.0,0.5318,mlp-tripletK10-IDEC
Orchards,0.0,0.0,0.501,mlp-tripletK10-IDEC
Sud,0.0,0.0,0.44341,mlp-tripletK10-IDEC
full,0.0,0.0,0.51517,mlp-tripletK10-IDEC
Meadow,0.05676,0.0459,0.60793,mlp-tripletK10-None
Orchards,0.07787,0.08389,0.64485,mlp-tripletK10-None
Sud,0.5223,0.48487,0.51869,mlp-tripletK10-None
full,0.03668,0.05038,0.61225,mlp-tripletK10-None
Meadow,0.04923,0.06052,0.62312,mlp-tripletK1-DEC
Orchards,0.25763,0.32899,0.7868,mlp-tripletK1-DEC
Sud,0.50293,0.49844,0.55082,mlp-tripletK1-DEC
full,0.05586,0.05902,0.62159,mlp-tripletK1-DEC
Meadow,0.06083,0.05988,0.62278,mlp-tripletK1-DEPICT
Orchards,0.0,0.0,0.501,mlp-tripletK1-DEPICT
Sud,0.0,0.0,0.44341,mlp-tripletK1-DEPICT
full,0.0,0.0,0.51517,mlp-tripletK1-DEPICT
Meadow,0.0,0.0,0.5318,mlp-tripletK1-IDEC
Orchards,0.0,0.0,0.501,mlp-tripletK1-IDEC
Sud,0.00385,0.00189,0.44452,mlp-tripletK1-IDEC
full,0.0,0.0,0.51517,mlp-tripletK1-IDEC
Meadow,0.01756,0.02117,0.57292,mlp-tripletK1-None
Orchards,0.08652,0.10769,0.66411,mlp-tripletK1-None
Sud,0.47768,0.42114,0.47158,mlp-tripletK1-None
full,0.05089,0.05068,0.61271,mlp-tripletK1-None
Meadow,0.02618,0.01689,0.56656,mlp-tripletK2-DEC
Orchards,0.1164,0.11818,0.67191,mlp-tripletK2-DEC
Sud,0.0,0.0,0.44341,mlp-tripletK2-DEC
full,0.00895,-0.00078,0.50467,mlp-tripletK2-DEC
Meadow,0.02265,0.00348,0.53653,mlp-tripletK2-DEPICT
Orchards,0.0,0.0,0.501,mlp-tripletK2-DEPICT
Sud,0.46614,0.31909,0.36488,mlp-tripletK2-DEPICT
full,0.0,0.0,0.51517,mlp-tripletK2-DEPICT
Meadow,0.0,0.0,0.5318,mlp-tripletK2-IDEC
Orchards,0.0,0.0,0.501,mlp-tripletK2-IDEC
Sud,0.48405,0.30905,0.3819,mlp-tripletK2-IDEC
full,0.05281,0.05559,0.61801,mlp-tripletK2-IDEC
Meadow,0.02538,0.01241,0.55816,mlp-tripletK2-None
Orchards,0.12457,0.1393,0.68664,mlp-tripletK2-None
Sud,0.52522,0.42088,0.45547,mlp-tripletK2-None
full,0.14621,0.18024,0.7123,mlp-tripletK2-None
Meadow,0.13082,0.15555,0.69729,mlp-tripletK5-DEC
Orchards,0.1429,0.16151,0.70096,mlp-tripletK5-DEC
Sud,0.0,0.0,0.44341,mlp-tripletK5-DEC
full,0.0155,0.01128,0.55429,mlp-tripletK5-DEC
Meadow,0.0,0.0,0.5318,mlp-tripletK5-DEPICT
Orchards,0.0,0.0,0.501,mlp-tripletK5-DEPICT
Sud,0.53071,0.51976,0.52518,mlp-tripletK5-DEPICT
full,0.0,0.0,0.51517,mlp-tripletK5-DEPICT
Meadow,0.0,0.0,0.5318,mlp-tripletK5-IDEC
Orchards,0.0,0.0,0.501,mlp-tripletK5-IDEC
Sud,0.55704,0.56107,0.56875,mlp-tripletK5-IDEC
full,0.0,0.0,0.51517,mlp-tripletK5-IDEC
Meadow,0.09907,0.09588,0.65519,mlp-tripletK5-None
Orchards,0.04966,0.05736,0.61979,mlp-tripletK5-None
Sud,0.5659,0.62791,0.60118,mlp-tripletK5-None
full,0.10186,0.10532,0.66242,mlp-tripletK5-None
Meadow,0.00101,0.00242,0.53491,mlp-vae-DEC
Orchards,0.40304,0.43198,0.82863,mlp-vae-DEC
Sud,0.48826,0.42476,0.45374,mlp-vae-DEC
full,0.02115,0.01723,0.56646,mlp-vae-DEC
Meadow,0.06497,0.08812,0.64875,mlp-vae-DEPICT
Orchards,0.33022,0.42132,0.82456,mlp-vae-DEPICT
Sud,0.0,0.0,0.44341,mlp-vae-DEPICT
full,0.00091,0.00031,0.51058,mlp-vae-DEPICT
Meadow,0.03524,0.05087,0.61309,mlp-vae-IDEC
Orchards,0.42758,0.52676,0.8629,mlp-vae-IDEC
Sud,0.0,0.0,0.44341,mlp-vae-IDEC
full,0.00563,0.00019,0.5135,mlp-vae-IDEC
Meadow,0.00488,0.0084,0.54639,mlp-vae-None
Orchards,0.59621,0.63917,0.89975,mlp-vae-None
Sud,0.57224,0.48529,0.55284,mlp-vae-None
Meadow,0.0,0.0,0.5318,mlp-vae-VADE
Orchards,0.0,0.0,0.501,mlp-vae-VADE
Sud,0.05674,0.08133,0.4655,mlp-vae-VADE
full,0.0,0.0,0.51517,mlp-vae-VADE
full,0.00966,0.01167,0.55462,mlp-vae-None
Meadow,0.02006,0.02916,0.58639,res_cnn-joint-DEC
Orchards,0.62546,0.65126,0.90351,res_cnn-joint-DEC
Sud,0.55953,0.6234,0.62367,res_cnn-joint-DEC
full,0.29476,0.19533,0.72113,res_cnn-joint-DEC
Meadow,0.03019,0.04111,0.6023,res_cnn-joint-DEPICT
Orchards,0.64521,0.68265,0.91312,res_cnn-joint-DEPICT
Sud,0.51891,0.51251,0.61029,res_cnn-joint-DEPICT
full,0.17013,0.17619,0.70997,res_cnn-joint-DEPICT
Meadow,0.01301,0.02031,0.57164,res_cnn-joint-DTCR
Orchards,0.08242,0.10287,0.6604,res_cnn-joint-DTCR
Sud,0.27498,0.17559,0.32202,res_cnn-joint-DTCR
full,0.0069,0.00771,0.5449,res_cnn-joint-DTCR
Meadow,0.03057,0.03667,0.59736,res_cnn-joint-IDEC
Orchards,0.6048,0.62462,0.89517,res_cnn-joint-IDEC
Sud,0.0,0.0,0.44341,res_cnn-joint-IDEC
full,0.24068,0.17961,0.71206,res_cnn-joint-IDEC
Meadow,0.02069,0.02869,0.58605,res_cnn-joint-None
Orchards,0.58598,0.59657,0.88619,res_cnn-joint-None
Sud,0.55166,0.46183,0.52072,res_cnn-joint-None
full,0.27659,0.18939,0.71775,res_cnn-joint-None
Meadow,0.02104,0.03121,0.58904,res_cnn-reconstruction-DEC
Orchards,0.30912,0.39617,0.81472,res_cnn-reconstruction-DEC
Sud,0.00732,0.00249,0.44523,res_cnn-reconstruction-DEC
full,0.11968,0.12455,0.67659,res_cnn-reconstruction-DEC
Meadow,0.01103,0.01749,0.56656,res_cnn-reconstruction-DEPICT
Orchards,0.34625,0.43832,0.83104,res_cnn-reconstruction-DEPICT
Sud,0.55192,0.48332,0.51616,res_cnn-reconstruction-DEPICT
full,0.07793,0.09344,0.65295,res_cnn-reconstruction-DEPICT
Meadow,0.04164,0.02932,0.58682,res_cnn-reconstruction-DTCR
Orchards,0.0,0.0,0.501,res_cnn-reconstruction-DTCR
Sud,0.0,0.0,0.44341,res_cnn-reconstruction-DTCR
full,0.0,0.0,0.51517,res_cnn-reconstruction-DTCR
Meadow,0.03077,0.04095,0.60222,res_cnn-reconstruction-GAN
Orchards,0.54884,0.54454,0.86897,res_cnn-reconstruction-GAN
Sud,0.50833,0.32336,0.43956,res_cnn-reconstruction-GAN
full,0.12238,0.12179,0.67464,res_cnn-reconstruction-GAN
Meadow,0.0187,0.0283,0.58443,res_cnn-reconstruction-IDEC
Orchards,0.39425,0.48348,0.84767,res_cnn-reconstruction-IDEC
Sud,0.5272,0.51506,0.55173,res_cnn-reconstruction-IDEC
full,0.23865,0.15912,0.69964,res_cnn-reconstruction-IDEC
Meadow,0.03644,0.04964,0.61211,res_cnn-reconstruction-None
Orchards,0.34197,0.40882,0.81971,res_cnn-reconstruction-None
Sud,0.54105,0.49711,0.54504,res_cnn-reconstruction-None
full,0.11028,0.10577,0.66279,res_cnn-reconstruction-None
Orchards,0.31341,0.39606,0.81468,res_cnn-vae-DEC
Sud,0.0,0.0,0.44341,res_cnn-vae-DEC
Orchards,0.0,0.0,0.501,res_cnn-vae-DEPICT
Sud,0.0,0.0,0.44341,res_cnn-vae-DEPICT
Orchards,0.00202,5,00E-05,0.50385,res_cnn-vae-DTCR
Sud,0.0,0.0,0.44341,res_cnn-vae-DTCR
Orchards,0.4114,0.48537,0.84835,res_cnn-vae-IDEC
Sud,0.0,0.0,0.44341,res_cnn-vae-IDEC
Orchards,0.35679,0.44967,0.8353,res_cnn-vae-None
Sud,0.46004,0.43083,0.43621,res_cnn-vae-None
Orchards,0.03344,0.0042,0.53245,res_cnn-vae-VADE
Sud,0.42759,0.37427,0.56936,res_cnn-vae-VADE
0,,,,mlp-tripletK10-None
0,,,,mlp-tripletK10-None
0,,,,mlp-tripletK10-None
0,,,,mlp-tripletK10-None
0,,,,mlp-tripletK1-None
0,,,,mlp-tripletK1-None
0,,,,mlp-tripletK1-None
0,,,,mlp-tripletK1-None
0,,,,mlp-tripletK2-None
0,,,,mlp-tripletK2-None
0,,,,mlp-tripletK2-None
0,,,,mlp-tripletK2-None
0,,,,mlp-tripletK5-None
0,,,,mlp-tripletK5-None
0,,,,mlp-tripletK5-None
0,,,,mlp-tripletK5-None
0,,,,mlp-vae-None
0,,,,mlp-vae-None
0,,,,mlp-vae-None
0,,,,mlp-vae-None
